Trial	Day	Infected	Vaccinated	VaxProb
12	7	3622	3738	2640	0
12	8	3271	3231	3498	0
12	9	2882	2814	4304	0
12	10	2547	2442	5011	0
12	11	2173	2146	5681	0
12	12	1821	1917	6262	0
12	13	1502	1729	6769	0
12	14	1246	1568	7186	0
12	15	993	1449	7558	0
12	16	784	1362	7854	0
12	17	647	1270	8083	0
12	18	529	1200	8271	0
12	19	409	1159	8432	0
12	20	313	1136	8551	0
12	21	258	1104	8638	0
12	22	199	1071	8730	0
12	23	150	1050	8800	0
12	24	122	1037	8841	0
12	25	111	1025	8864	0
12	26	92	1012	8896	0
12	27	67	1004	8929	0
12	28	52	998	8950	0
12	29	43	994	8963	0
12	30	33	992	8975	0
12	31	21	991	8988	0
12	32	14	990	8996	0
12	33	10	988	9002	0
12	34	8	986	9006	0
12	35	8	984	9008	0
12	36	7	984	9009	0
12	37	6	984	9010	0
12	38	4	984	9012	0
12	39	3	983	9014	0
12	40	1	983	9016	0
12	41	1	983	9016	0
12	42	1	983	9016	0
12	43	1	983	9016	0
12	44	0	983	9017	0
13	0	1200	8800	0	0
13	1	1842	8158	0	0
13	2	2640	7360	0	0
13	3	3498	6502	0	0
13	4	4304	5696	0	0
13	5	3852	4989	1159	0
13	6	3839	4319	1842	0
13	7	3622	3738	2640	0
13	8	3271	3231	3498	0
13	9	2882	2814	4304	0
13	10	2547	2442	5011	0
13	11	2173	2146	5681	0
13	12	1821	1917	6262	0
13	13	1502	1729	6769	0
13	14	1246	1568	7186	0
13	15	993	1449	7558	0
13	16	784	1362	7854	0
13	17	647	1270	8083	0
13	18	529	1200	8271	0
13	19	409	1159	8432	0
13	20	313	1136	8551	0
13	21	258	1104	8638	0
13	22	199	1071	8730	0
13	23	150	1050	8800	0
13	24	122	1037	8841	0
13	25	111	1025	8864	0
13	26	92	1012	8896	0
13	27	67	1004	8929	0
13	28	52	998	8950	0
13	29	43	994	8963	0
13	30	33	992	8975	0
13	31	21	991	8988	0
13	32	14	990	8996	0
13	33	10	988	9002	0
13	34	8	986	9006	0
13	35	8	984	9008	0
13	36	7	984	9009	0
13	37	6	984	9010	0
13	38	4	984	9012	0
13	39	3	983	9014	0
13	40	1	983	9016	0
13	41	1	983	9016	0
13	42	1	983	9016	0
13	43	1	983	9016	0
13	44	0	983	9017	0
14	0	1200	8800	0	0
14	1	1710	8290	0	0
14	2	2381	7619	0	0
14	3	3073	6927	0	0
14	4	3857	6143	0	0
14	5	3460	5357	1183	0
14	6	3559	4731	1710	0
14	7	3455	4164	2381	0
14	8	3245	3682	3073	0
14	9	2862	3281	3857	0
